iter	Passed	Remaining
0	62	62052
1	70	35374
2	79	26378
3	87	21783
4	93	18603
5	101	16784
6	110	15623
7	117	14580
8	129	14224
9	136	13501
10	142	12847
11	149	12298
12	155	11827
13	164	11619
14	171	11246
15	176	10881
16	184	10657
17	194	10601
18	201	10412
19	209	10255
20	218	10190
21	224	9989
22	231	9850
23	237	9644
24	246	9600
25	251	9433
26	258	9301
27	264	9191
28	269	9027
29	276	8946
30	283	8865
31	289	8759
32	295	8652
33	301	8575
34	308	8497
35	314	8428
36	321	8358
37	327	8282
38	333	8215
39	341	8189
40	347	8136
41	354	8086
42	361	8034
43	367	7988
44	377	8007
45	383	7956
46	390	7923
47	398	7899
48	415	8065
49	424	8056
50	430	8013
51	436	7963
52	443	7920
53	449	7880
54	456	7841
55	462	7797
56	470	7792
57	477	7753
58	483	7713
59	489	7661
60	495	7625
61	502	7600
62	510	7592
63	516	7555
64	523	7527
65	529	7496
66	536	7472
67	545	7481
68	553	7471
69	560	7442
70	566	7416
71	574	7402
72	581	7379
73	587	7351
74	594	7331
75	600	7306
76	607	7284
77	613	7257
78	620	7228
79	628	7223
80	634	7196
81	640	7170
82	646	7144
83	652	7119
84	662	7135
85	676	7193
86	684	7185
87	692	7173
88	697	7137
89	703	7116
90	712	7118
91	723	7141
92	730	7121
93	737	7104
94	744	7094
95	751	7080
96	757	7054
97	764	7032
98	772	7026
99	778	7007
100	786	7001
101	793	6981
102	798	6958
103	805	6940
104	811	6920
105	819	6911
106	825	6893
107	832	6879
108	839	6859
109	844	6835
110	853	6836
111	859	6812
112	868	6817
113	873	6789
114	879	6770
115	887	6760
116	893	6741
117	900	6728
118	919	6806
119	930	6824
120	942	6846
121	953	6859
122	961	6855
123	965	6819
124	973	6812
125	980	6802
126	989	6804
127	997	6796
128	1004	6784
129	1010	6763
130	1016	6742
131	1022	6720
132	1028	6703
133	1034	6685
134	1043	6686
135	1049	6669
136	1058	6667
137	1065	6653
138	1076	6670
139	1086	6671
140	1107	6745
141	1128	6817
142	1139	6827
143	1147	6821
144	1156	6817
145	1164	6813
146	1175	6819
147	1179	6790
148	1186	6776
149	1195	6777
150	1206	6784
151	1215	6781
152	1220	6756
153	1227	6742
154	1234	6729
155	1238	6700
156	1244	6683
157	1251	6668
158	1259	6663
159	1265	6642
160	1272	6630
161	1279	6616
162	1284	6598
163	1290	6579
164	1297	6566
165	1304	6555
166	1311	6544
167	1318	6527
168	1324	6514
169	1331	6499
170	1337	6485
171	1344	6471
172	1350	6457
173	1358	6448
174	1365	6438
175	1373	6430
176	1380	6419
177	1387	6407
178	1402	6430
179	1412	6432
180	1424	6446
181	1432	6437
182	1439	6427
183	1447	6418
184	1454	6407
185	1462	6402
186	1472	6399
187	1479	6390
188	1487	6381
189	1496	6380
190	1506	6381
191	1517	6385
192	1525	6379
193	1533	6373
194	1538	6351
195	1556	6383
196	1569	6396
197	1579	6399
198	1588	6392
199	1595	6380
200	1613	6413
201	1620	6403
202	1627	6391
203	1631	6366
204	1638	6352
205	1644	6338
206	1650	6321
207	1654	6298
208	1659	6282
209	1666	6269
210	1674	6260
211	1680	6245
212	1685	6229
213	1692	6215
214	1697	6196
215	1702	6181
216	1708	6166
217	1716	6158
218	1723	6147
219	1729	6132
220	1737	6125
221	1745	6117
222	1752	6107
223	1759	6094
224	1766	6084
225	1774	6075
226	1794	6110
227	1805	6112
228	1816	6117
229	1829	6123
230	1839	6124
231	1853	6135
232	1879	6187
233	1902	6227
234	1914	6231
235	1923	6226
236	1934	6227
237	1943	6221
238	1951	6214
239	1960	6208
240	1969	6203
241	1979	6200
242	1988	6193
243	1997	6187
244	2003	6172
245	2009	6159
246	2017	6150
247	2024	6139
248	2031	6126
249	2037	6111
250	2044	6100
251	2050	6086
252	2058	6077
253	2065	6067
254	2072	6056
255	2080	6045
256	2086	6032
257	2092	6018
258	2099	6006
